Periode,Taux.de.chomage
2020-01-01,8.3
2020-01-31,8.3
2020-03-01,7.9
2020-03-31,7.7
2020-04-30,7.8
2020-05-30,7.8
2020-06-29,7.4
2020-07-29,7.6
2020-08-28,7.6
2020-09-27,7.6
2020-10-27,7.9
2020-11-26,8.3
2020-12-26,8.0
2021-01-25,8.2
2021-02-24,7.2
2021-03-26,7.7
2021-04-25,7.3
2021-05-25,7.0
2021-06-24,7.0
2021-07-24,6.6
2021-08-23,7.1
2021-09-22,7.4
2021-10-22,7.7
2021-11-21,7.5
2021-12-21,7.4
2022-01-20,7.4
2022-02-19,7.5
2022-03-21,7.2
2022-04-20,6.7
2022-05-20,6.8
2022-06-19,6.6
2022-07-19,6.8
2022-08-18,6.6
2022-09-17,6.8
2022-10-17,7.0
2022-11-16,6.9
2022-12-16,7.2
2023-01-15,7.1
2023-02-14,6.9
2023-03-16,6.6
2023-04-15,6.2
2023-05-15,6.2
2023-06-14,6.1
2023-07-14,6.0
2023-08-13,6.3
2023-09-12,6.6
2023-10-12,7.0
2023-11-11,6.8
2023-12-11,6.8
2024-01-10,6.7
2024-02-09,6.1
2024-03-10,6.3
2024-04-09,6.0
2024-05-09,6.3
2024-06-08,5.7
2024-07-08,5.8
2024-08-07,5.9
2024-09-06,5.8
2024-10-06,6.5
2024-11-05,6.5
