Periode,Taux.d.emploi
2020-01-01,60.1
2020-01-31,60.2
2020-03-01,60.7
2020-03-31,61.1
2020-04-30,60.5
2020-05-30,60.3
2020-06-29,60.7
2020-07-29,60.2
2020-08-28,59.7
2020-09-27,60.0
2020-10-27,59.8
2020-11-26,60.0
2020-12-26,60.5
2021-01-25,60.1
2021-02-24,60.4
2021-03-26,60.8
2021-04-25,60.7
2021-05-25,60.9
2021-06-24,60.3
2021-07-24,60.0
2021-08-23,60.7
2021-09-22,60.1
2021-10-22,60.3
2021-11-21,60.1
2021-12-21,60.7
2022-01-20,61.1
2022-02-19,61.0
2022-03-21,61.5
2022-04-20,61.2
2022-05-20,61.1
2022-06-19,60.8
2022-07-19,61.4
2022-08-18,60.6
2022-09-17,60.3
2022-10-17,61.0
2022-11-16,60.6
2022-12-16,61.3
2023-01-15,60.9
2023-02-14,61.3
2023-03-16,61.9
2023-04-15,62.0
2023-05-15,61.7
2023-06-14,61.4
2023-07-14,61.1
2023-08-13,60.6
2023-09-12,60.8
2023-10-12,61.0
2023-11-11,61.7
2023-12-11,61.7
2024-01-10,61.4
2024-02-09,62.2
2024-03-10,62.1
2024-04-09,62.0
2024-05-09,62.2
2024-06-08,62.1
2024-07-08,61.9
2024-08-07,61.2
2024-09-06,61.3
2024-10-06,61.6
2024-11-05,62.0
